Occupation,Factor,Mean,Major?, 
All Occupations,1,"$50,620 ",*,
Management Occupations,2.369,"$119,910 ",*,
Top Executives,2.529,"$128,020 ",,
Chief Executives,3.873,"$196,050 ",,
General and Operations Managers,2.439,"$123,460 ",,
Legislators,0.916,"$46,350 ",,
"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",2.739,"$138,650 ",,
Advertising and Promotions Managers,2.447,"$123,880 ",,
Marketing and Sales Managers,2.778,"$140,600 ",,
Marketing Managers,2.877,"$145,620 ",,
Sales Managers,2.719,"$137,650 ",,
Public Relations and Fundraising Managers,2.523,"$127,690 ",,
Operations Specialties Managers,2.557,"$129,450 ",,
Administrative Services Managers,2.042,"$103,380 ",,
Computer and Information Systems Managers,2.958,"$149,730 ",,
Financial Managers,2.835,"$143,530 ",,
Industrial Production Managers,2.185,"$110,580 ",,
Purchasing Managers,2.406,"$121,810 ",,
"Transportation, Storage, and Distribution Managers",1.99,"$100,740 ",,
Compensation and Benefits Managers,2.568,"$130,010 ",,
Human Resources Managers,2.44,"$123,510 ",,
Training and Development Managers,2.325,"$117,690 ",,
Other Management Occupations,1.955,"$98,940 ",,
"Farmers, Ranchers, and Other Agricultural Managers",1.587,"$80,320 ",,
Construction Managers,1.995,"$101,000 ",,
Education Administrators,1.882,"$95,270 ",,
"Education Administrators, Preschool and Childcare Center/Program",1.058,"$53,550 ",,
"Education Administrators, Elementary and Secondary School",1.925,"$97,440 ",,
"Education Administrators, Postsecondary",2.127,"$107,670 ",,
"Education Administrators, All Other",1.743,"$88,240 ",,
Architectural and Engineering Managers,2.89,"$146,290 ",,
Food Service Managers,1.131,"$57,250 ",,
Funeral Service Managers,1.839,"$93,090 ",,
Gaming Managers,1.649,"$83,460 ",,
Lodging Managers,1.178,"$59,620 ",,
Medical and Health Services Managers,2.206,"$111,680 ",,
Natural Sciences Managers,2.641,"$133,670 ",,
Postmasters and Mail Superintendents,1.495,"$75,660 ",,
"Property, Real Estate, and Community Association Managers",1.43,"$72,370 ",,
Social and Community Service Managers,1.393,"$70,530 ",,
Emergency Management Directors,1.603,"$81,140 ",,
"Managers, All Other",2.236,"$113,180 ",,
Business and Financial Operations Occupations,1.508,"$76,330 ",*,
Business Operations Specialists,1.444,"$73,080 ",,
"Agents and Business Managers of Artists, Performers, and Athletes",1.795,"$90,870 ",,
Buyers and Purchasing Agents,1.323,"$66,960 ",,
"Claims Adjusters, Appraisers, Examiners, and Investigators",1.309,"$66,250 ",,
"Claims Adjusters, Examiners, and Investigators",1.311,"$66,340 ",,
"Insurance Appraisers, Auto Damage",1.278,"$64,680 ",,
Compliance Officers,1.413,"$71,540 ",,
Cost Estimators,1.352,"$68,420 ",,
Human Resources Workers,1.306,"$66,120 ",,
Human Resources Specialists,1.308,"$66,220 ",,
Farm Labor Contractors,0.966,"$48,890 ",,
Labor Relations Specialists,1.295,"$65,540 ",,
Logisticians,1.556,"$78,740 ",,
Management Analysts,1.846,"$93,440 ",,
"Meeting, Convention, and Event Planners",1.04,"$52,630 ",,
Fundraisers,1.184,"$59,930 ",,
"Compensation, Benefits, and Job Analysis Specialists",1.327,"$67,160 ",,
Training and Development Specialists,1.278,"$64,700 ",,
Market Research Analysts and Marketing Specialists,1.411,"$71,450 ",,
"Business Operations Specialists, All Other",1.496,"$75,740 ",,
Financial Specialists,1.624,"$82,190 ",,
Accountants and Auditors,1.539,"$77,920 ",,
Appraisers and Assessors of Real Estate,1.202,"$60,830 ",,
Budget Analysts,1.554,"$78,680 ",,
Credit Analysts,1.638,"$82,900 ",,
Financial Analysts and Advisors,2.066,"$104,570 ",,
Financial Analysts,1.964,"$99,430 ",,
Personal Financial Advisors,2.452,"$124,140 ",,
Insurance Underwriters,1.534,"$77,660 ",,
Financial Examiners,1.813,"$91,780 ",,
Credit Counselors and Loan Officers,1.48,"$74,940 ",,
Credit Counselors,0.977,"$49,460 ",,
Loan Officers,1.539,"$77,920 ",,
"Tax Examiners, Collectors and Preparers, and Revenue Agents",1.038,"$52,530 ",,
"Tax Examiners and Collectors, and Revenue Agents",1.168,"$59,140 ",,
Tax Preparers,0.93,"$47,090 ",,
"Financial Specialists, All Other",1.514,"$76,630 ",,
Computer and Mathematical Occupations,1.774,"$89,810 ",*,
Computer Occupations,1.774,"$89,780 ",,
Computer and Information Research Scientists,2.362,"$119,570 ",,
Computer and Information Analysts,1.853,"$93,800 ",,
Computer Systems Analysts,1.832,"$92,740 ",,
Information Security Analysts,1.969,"$99,690 ",,
Software Developers and Programmers,2.024,"$102,470 ",,
Computer Programmers,1.729,"$87,530 ",,
"Software Developers, Applications",2.108,"$106,710 ",,
"Software Developers, Systems Software",2.208,"$111,780 ",,
Web Developers,1.464,"$74,110 ",,
Database and Systems Administrators and Network Architects,1.819,"$92,070 ",,
Database Administrators,1.759,"$89,050 ",,
Network and Computer Systems Administrators,1.706,"$86,340 ",,
Computer Network Architects,2.131,"$107,870 ",,
Computer Support Specialists,1.131,"$57,260 ",,
Computer User Support Specialists,1.07,"$54,150 ",,
Computer Network Support Specialists,1.334,"$67,510 ",,
"Computer Occupations, All Other",1.799,"$91,080 ",,
Mathematical Science Occupations,1.787,"$90,460 ",,
Actuaries,2.269,"$114,850 ",,
Mathematicians,2.068,"$104,700 ",,
Operations Research Analysts,1.709,"$86,510 ",,
Statisticians,1.758,"$88,980 ",,
Miscellaneous Mathematical Science Occupations,1.455,"$73,670 ",,
Architecture and Engineering Occupations,1.703,"$86,190 ",*,
"Architects, Surveyors, and Cartographers",1.56,"$78,970 ",,
"Architects, Except Naval",1.677,"$84,910 ",,
"Architects, Except Landscape and Naval",1.729,"$87,500 ",,
Landscape Architects,1.4,"$70,880 ",,
"Surveyors, Cartographers, and Photogrammetrists",1.299,"$65,740 ",,
Cartographers and Photogrammetrists,1.331,"$67,390 ",,
Surveyors,1.29,"$65,300 ",,
Engineers,1.94,"$98,190 ",,
Aerospace Engineers,2.278,"$115,300 ",,
Agricultural Engineers,1.54,"$77,970 ",,
Biomedical Engineers,1.837,"$92,970 ",,
Chemical Engineers,2.221,"$112,430 ",,
Civil Engineers,1.813,"$91,790 ",,
Computer Hardware Engineers,2.364,"$119,650 ",,
Electrical and Electronics Engineers,2.027,"$102,620 ",,
Electrical Engineers,1.967,"$99,580 ",,
"Electronics Engineers, Except Computer",2.109,"$106,760 ",,
Environmental Engineers,1.801,"$91,180 ",,
"Industrial Engineers, Including Health and Safety",1.788,"$90,500 ",,
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",1.821,"$92,190 ",,
Industrial Engineers,1.785,"$90,340 ",,
Marine Engineers and Naval Architects,1.914,"$96,910 ",,
Materials Engineers,1.948,"$98,610 ",,
Mechanical Engineers,1.808,"$91,500 ",,
"Mining and Geological Engineers, Including Mining Safety Engineers",2.049,"$103,710 ",,
Nuclear Engineers,2.152,"$108,910 ",,
Petroleum Engineers,3.058,"$154,780 ",,
"Engineers, All Other",1.962,"$99,310 ",,
"Drafters, Engineering Technicians, and Mapping Technicians",1.155,"$58,450 ",,
Drafters,1.128,"$57,080 ",,
Architectural and Civil Drafters,1.089,"$55,110 ",,
Electrical and Electronics Drafters,1.259,"$63,720 ",,
Mechanical Drafters,1.149,"$58,150 ",,
"Drafters, All Other",1.067,"$53,990 ",,
"Engineering Technicians, Except Drafters",1.196,"$60,550 ",,
Aerospace Engineering and Operations Technicians,1.409,"$71,340 ",,
Civil Engineering Technicians,1.059,"$53,600 ",,
Electrical and Electronics Engineering Technicians,1.27,"$64,290 ",,
Electro-Mechanical Technicians,1.175,"$59,490 ",,
Environmental Engineering Technicians,1.059,"$53,610 ",,
Industrial Engineering Technicians,1.142,"$57,810 ",,
Mechanical Engineering Technicians,1.149,"$58,180 ",,
"Engineering Technicians, Except Drafters, All Other",1.275,"$64,550 ",,
Surveying and Mapping Technicians,0.916,"$46,350 ",,
"Life, Physical, and Social Science Occupations",1.469,"$74,370 ",*,
Life Scientists,1.676,"$84,860 ",,
Agricultural and Food Scientists,1.392,"$70,480 ",,
Animal Scientists,1.36,"$68,840 ",,
Food Scientists and Technologists,1.422,"$71,990 ",,
Soil and Plant Scientists,1.366,"$69,170 ",,
Biological Scientists,1.661,"$84,060 ",,
Biochemists and Biophysicists,2.082,"$105,410 ",,
Microbiologists,1.549,"$78,400 ",,
Zoologists and Wildlife Biologists,1.309,"$66,250 ",,
"Biological Scientists, All Other",1.584,"$80,200 ",,
Conservation Scientists and Foresters,1.264,"$63,990 ",,
Conservation Scientists,1.281,"$64,850 ",,
Foresters,1.219,"$61,710 ",,
Medical Scientists,1.875,"$94,920 ",,
Epidemiologists,1.506,"$76,230 ",,
"Medical Scientists, Except Epidemiologists",1.898,"$96,070 ",,
"Life Scientists, All Other",1.625,"$82,270 ",,
Physical Scientists,1.748,"$88,470 ",,
Astronomers and Physicists,2.403,"$121,620 ",,
Astronomers,2.164,"$109,560 ",,
Physicists,2.431,"$123,080 ",,
Atmospheric and Space Scientists,1.851,"$93,710 ",,
Chemists and Materials Scientists,1.65,"$83,500 ",,
Chemists,1.617,"$81,870 ",,
Materials Scientists,2.013,"$101,910 ",,
Environmental Scientists and Geoscientists,1.657,"$83,890 ",,
"Environmental Scientists and Specialists, Including Health",1.506,"$76,220 ",,
"Geoscientists, Except Hydrologists and Geographers",2.091,"$105,830 ",,
Hydrologists,1.665,"$84,290 ",,
"Physical Scientists, All Other",2.117,"$107,180 ",,
Social Scientists and Related Workers,1.642,"$83,110 ",,
Economists,2.225,"$112,650 ",,
Survey Researchers,1.199,"$60,700 ",,
Psychologists,1.635,"$82,770 ",,
"Clinical, Counseling, and School Psychologists",1.607,"$81,330 ",,
Industrial-Organizational Psychologists,2.025,"$102,530 ",,
"Psychologists, All Other",1.846,"$93,440 ",,
Sociologists,1.702,"$86,130 ",,
Urban and Regional Planners,1.469,"$74,350 ",,
Miscellaneous Social Scientists and Related Workers,1.649,"$83,450 ",,
Anthropologists and Archeologists,1.31,"$66,330 ",,
Geographers,1.517,"$76,790 ",,
Historians,1.269,"$64,220 ",,
Political Scientists,2.213,"$112,030 ",,
"Social Scientists and Related Workers, All Other",1.644,"$83,230 ",,
"Life, Physical, and Social Science Technicians",0.987,"$49,970 ",,
Agricultural and Food Science Technicians,0.848,"$42,910 ",,
Biological Technicians,0.937,"$47,410 ",,
Chemical Technicians,1.008,"$51,010 ",,
Geological and Petroleum Technicians,1.253,"$63,450 ",,
Nuclear Technicians,1.58,"$80,000 ",,
Social Science Research Assistants,0.969,"$49,030 ",,
"Miscellaneous Life, Physical, and Social Science Technicians",0.973,"$49,270 ",,
"Environmental Science and Protection Technicians, Including Health",0.974,"$49,310 ",,
Forensic Science Technicians,1.209,"$61,220 ",,
Forest and Conservation Technicians,0.774,"$39,180 ",,
"Life, Physical, and Social Science Technicians, All Other",1.011,"$51,160 ",,
Community and Social Service Occupations,0.949,"$48,050 ",*,
"Counselors, Social Workers, and Other Community and Social Service Specialists",0.949,"$48,060 ",,
Counselors,1.001,"$50,670 ",,
"Educational, Guidance, School, and Vocational Counselors",1.158,"$58,620 ",,
Marriage and Family Therapists,1.064,"$53,860 ",,
Rehabilitation Counselors,0.769,"$38,950 ",,
"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",0.92,"$46,560 ",,
"Counselors, All Other",0.94,"$47,600 ",,
Social Workers,1.02,"$51,630 ",,
"Child, Family, and School Social Workers",0.957,"$48,430 ",,
Healthcare Social Workers,1.122,"$56,810 ",,
Mental Health and Substance Abuse Social Workers,0.945,"$47,830 ",,
"Social Workers, All Other",1.203,"$60,900 ",,
Miscellaneous Community and Social Service Specialists,0.831,"$42,090 ",,
Health Educators,1.166,"$59,010 ",,
Probation Officers and Correctional Treatment Specialists,1.119,"$56,630 ",,
Social and Human Service Assistants,0.701,"$35,460 ",,
Community Health Workers,0.836,"$42,340 ",,
"Community and Social Service Specialists, All Other",0.885,"$44,780 ",,
Religious Workers,0.946,"$47,880 ",,
Clergy,1.004,"$50,800 ",,
"Directors, Religious Activities and Education",0.898,"$45,470 ",,
"Religious Workers, All Other",0.719,"$36,380 ",,
Legal Occupations,2.121,"$107,370 ",*,
"Lawyers, Judges, and Related Workers",2.719,"$137,660 ",,
Lawyers and Judicial Law Clerks,2.764,"$139,900 ",,
Lawyers,2.803,"$141,890 ",,
Judicial Law Clerks,1.144,"$57,920 ",,
"Judges, Magistrates, and Other Judicial Workers",2.14,"$108,340 ",,
"Administrative Law Judges, Adjudicators, and Hearing Officers",1.942,"$98,280 ",,
"Arbitrators, Mediators, and Conciliators",1.443,"$73,020 ",,
"Judges, Magistrate Judges, and Magistrates",2.391,"$121,050 ",,
Legal Support Workers,1.093,"$55,330 ",,
Paralegals and Legal Assistants,1.065,"$53,910 ",,
Miscellaneous Legal Support Workers,1.166,"$59,000 ",,
Court Reporters,1.186,"$60,060 ",,
"Title Examiners, Abstractors, and Searchers",1.011,"$51,180 ",,
"Legal Support Workers, All Other",1.343,"$67,960 ",,
"Education, Training, and Library Occupations",1.096,"$55,470 ",*,
Postsecondary Teachers,1.637,"$82,880 ",,
"Business Teachers, Postsecondary",1.981,"$100,270 ",,
"Math and Computer Teachers, Postsecondary",1.726,"$87,380 ",,
"Computer Science Teachers, Postsecondary",1.809,"$91,590 ",,
"Mathematical Science Teachers, Postsecondary",1.673,"$84,710 ",,
"Engineering and Architecture Teachers, Postsecondary",2.109,"$106,770 ",,
"Architecture Teachers, Postsecondary",1.798,"$91,000 ",,
"Engineering Teachers, Postsecondary",2.17,"$109,830 ",,
"Life Sciences Teachers, Postsecondary",1.833,"$92,790 ",,
"Agricultural Sciences Teachers, Postsecondary",1.811,"$91,690 ",,
"Biological Science Teachers, Postsecondary",1.837,"$93,010 ",,
"Forestry and Conservation Science Teachers, Postsecondary",1.841,"$93,200 ",,
"Physical Sciences Teachers, Postsecondary",1.872,"$94,740 ",,
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",1.947,"$98,560 ",,
"Chemistry Teachers, Postsecondary",1.79,"$90,610 ",,
"Environmental Science Teachers, Postsecondary",1.732,"$87,660 ",,
"Physics Teachers, Postsecondary",1.999,"$101,190 ",,
"Social Sciences Teachers, Postsecondary",1.77,"$89,600 ",,
"Anthropology and Archeology Teachers, Postsecondary",1.847,"$93,500 ",,
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",1.646,"$83,330 ",,
"Economics Teachers, Postsecondary",2.268,"$114,820 ",,
"Geography Teachers, Postsecondary",1.735,"$87,810 ",,
"Political Science Teachers, Postsecondary",1.948,"$98,620 ",,
"Psychology Teachers, Postsecondary",1.68,"$85,050 ",,
"Sociology Teachers, Postsecondary",1.656,"$83,840 ",,
"Social Sciences Teachers, Postsecondary, All Other",1.562,"$79,050 ",,
"Health Teachers, Postsecondary",2.228,"$112,770 ",,
"Health Specialties Teachers, Postsecondary",2.428,"$122,890 ",,
"Nursing Instructors and Teachers, Postsecondary",1.528,"$77,360 ",,
"Education and Library Science Teachers, Postsecondary",1.432,"$72,510 ",,
"Education Teachers, Postsecondary",1.43,"$72,410 ",,
"Library Science Teachers, Postsecondary",1.456,"$73,680 ",,
"Law, Criminal Justice, and Social Work Teachers, Postsecondary",1.861,"$94,200 ",,
"Criminal Justice and Law Enforcement Teachers, Postsecondary",1.363,"$68,980 ",,
"Law Teachers, Postsecondary",2.565,"$129,840 ",,
"Social Work Teachers, Postsecondary",1.473,"$74,560 ",,
"Arts, Communications, and Humanities Teachers, Postsecondary",1.544,"$78,160 ",,
"Art, Drama, and Music Teachers, Postsecondary",1.555,"$78,720 ",,
"Communications Teachers, Postsecondary",1.494,"$75,640 ",,
"English Language and Literature Teachers, Postsecondary",1.534,"$77,660 ",,
"Foreign Language and Literature Teachers, Postsecondary",1.5,"$75,950 ",,
"History Teachers, Postsecondary",1.638,"$82,900 ",,
"Philosophy and Religion Teachers, Postsecondary",1.556,"$78,790 ",,
Miscellaneous Postsecondary Teachers,1.166,"$59,000 ",,
Graduate Teaching Assistants,0.745,"$37,720 ",,
"Home Economics Teachers, Postsecondary",1.525,"$77,220 ",,
"Recreation and Fitness Studies Teachers, Postsecondary",1.374,"$69,560 ",,
"Vocational Education Teachers, Postsecondary",1.119,"$56,630 ",,
"Postsecondary Teachers, All Other",1.474,"$74,630 ",,
"Preschool, Primary, Secondary, and Special Education School Teachers",1.161,"$58,780 ",,
Preschool and Kindergarten Teachers,0.782,"$39,600 ",,
"Preschool Teachers, Except Special Education",0.664,"$33,590 ",,
"Kindergarten Teachers, Except Special Education",1.128,"$57,110 ",,
Elementary and Middle School Teachers,1.203,"$60,900 ",,
"Elementary School Teachers, Except Special Education",1.202,"$60,830 ",,
"Middle School Teachers, Except Special and Career/Technical Education",1.206,"$61,040 ",,
"Career/Technical Education Teachers, Middle School",1.218,"$61,680 ",,
Secondary School Teachers,1.239,"$62,730 ",,
"Secondary School Teachers, Except Special and Career/Technical Education",1.242,"$62,860 ",,
"Career/Technical Education Teachers, Secondary School",1.205,"$61,010 ",,
Special Education Teachers,1.237,"$62,640 ",,
"Special Education Teachers, Preschool",1.153,"$58,390 ",,
"Special Education Teachers, Kindergarten and Elementary School",1.224,"$61,960 ",,
"Special Education Teachers, Middle School",1.25,"$63,250 ",,
"Special Education Teachers, Secondary School",1.276,"$64,590 ",,
"Special Education Teachers, All Other",1.2,"$60,750 ",,
Other Teachers and Instructors,0.776,"$39,290 ",,
Adult Basic and Secondary Education and Literacy Teachers and Instructors,1.122,"$56,800 ",,
Self-Enrichment Education Teachers,0.882,"$44,630 ",,
Miscellaneous Teachers and Instructors,0.725,"$36,700 ",,
"Teachers and Instructors, All Other, Except Substitute Teachers",0.938,"$47,490 ",,
Substitute Teachers,0.622,"$31,510 ",,
"Librarians, Curators, and Archivists",0.998,"$50,540 ",,
"Archivists, Curators, and Museum Technicians",1.036,"$52,450 ",,
Archivists,1.096,"$55,470 ",,
Curators,1.162,"$58,830 ",,
Museum Technicians and Conservators,0.888,"$44,970 ",,
Librarians,1.2,"$60,760 ",,
Library Technicians,0.702,"$35,510 ",,
"Other Education, Training, and Library Occupations",0.658,"$33,320 ",,
Audio-Visual and Multimedia Collections Specialists,1.013,"$51,290 ",,
Farm and Home Management Advisors,1.032,"$52,220 ",,
Instructional Coordinators,1.317,"$66,680 ",,
Teacher Assistants,0.552,"$27,950 ",,
"Education, Training, and Library Workers, All Other",0.932,"$47,200 ",,
"Arts, Design, Entertainment, Sports, and Media Occupations",1.165,"$58,950 ",*,
Art and Design Workers,1.065,"$53,910 ",,
Artists and Related Workers,1.638,"$82,900 ",,
Art Directors,2.045,"$103,510 ",,
Craft Artists,0.814,"$41,180 ",,
"Fine Artists, Including Painters, Sculptors, and Illustrators",1.136,"$57,520 ",,
Multimedia Artists and Animators,1.512,"$76,560 ",,
"Artists and Related Workers, All Other",1.315,"$66,590 ",,
Designers,0.962,"$48,720 ",,
Commercial and Industrial Designers,1.394,"$70,540 ",,
Fashion Designers,1.558,"$78,870 ",,
Floral Designers,0.557,"$28,220 ",,
Graphic Designers,1.053,"$53,280 ",,
Interior Designers,1.15,"$58,210 ",,
Merchandise Displayers and Window Trimmers,0.611,"$30,940 ",,
Set and Exhibit Designers,1.177,"$59,590 ",,
"Designers, All Other",1.312,"$66,400 ",,
"Entertainers and Performers, Sports and Related Workers",1.183,"$59,860 ",,
"Actors, Producers, and Directors",1.674,"$84,740 ",,
Actors,0,-4,,
Producers and Directors,1.793,"$90,770 ",,
"Athletes, Coaches, Umpires, and Related Workers",0.868,"$43,940 ",,
Athletes and Sports Competitors,1.744,"$88,300 ",,
Coaches and Scouts,0.84,"$42,540 ",,
"Umpires, Referees, and Other Sports Officials",0.693,"$35,080 ",,
Dancers and Choreographers,0.839,"$42,450 ",,
Dancers,0,-4,,
Choreographers,1.046,"$52,970 ",,
"Musicians, Singers, and Related Workers",0,-4,,
Music Directors and Composers,1.215,"$61,490 ",,
Musicians and Singers,0,-4,,
"Entertainers and Performers, Sports and Related Workers, All Other",0,-4,,
Media and Communication Workers,1.277,"$64,620 ",,
Announcers,0.916,"$46,350 ",,
Radio and Television Announcers,0.941,"$47,630 ",,
Public Address System and Other Announcers,0.825,"$41,740 ",,
"News Analysts, Reporters and Correspondents",1.111,"$56,250 ",,
Broadcast News Analysts,1.743,"$88,250 ",,
Reporters and Correspondents,1.018,"$51,550 ",,
Public Relations Specialists,1.343,"$67,990 ",,
